County,Avg_Monthly_Deaths,Median_Household_Income,Total_LTCF_Deaths
atlantic,27.76923076923077,73113,31.0
bergen,95.71794871794872,118714,1211.0
burlington,35.30769230769231,102615,34.0
essex,96.6923076923077,73785,634.0
gloucester,26.94871794871795,99668,324.0
hudson,73.2051282051282,86854,368.0
hunterdon,7.871794871794871,133534,88.0
mercer,34.56410256410256,92697,457.0
middlesex,77.94871794871794,105206,709.0
monmouth,61.12820512820513,118527,881.0
morris,43.02564102564103,130808,619.0
ocean,84.15384615384616,82379,925.0
passaic,63.07692307692308,84465,558.0
salem,6.717948717948718,73378,114.0
somerset,26.41025641025641,131948,461.0
sussex,13.307692307692308,111094,213.0
union,64.05128205128206,95000,568.0
warren,9.41025641025641,92620,172.0
